Date, Close/Last, Volume, Open, High, Low
2020-04-27, 75.98,7219462, 76.59, 77.8201, 75.49
2020-04-28, 75.29,6250473, 77.108, 77.78, 75.16
2020-04-29, 78.97,11950170, 77.17, 79.24, 76.83
2020-04-30, 78.67,17113450, 80.27, 80.87, 77.28
2020-05-01, 75.64,9742126, 76.85, 77.59, 74.68
2020-05-04, 75.68,7202849, 75.16, 75.94, 74.09
2020-05-05, 77.63,7540822, 76.75, 78.81, 76.56
2020-05-06, 78.87,8179660, 78.81, 80.14, 78.52
2020-05-07, 78.83,7295662, 79.7, 80.17, 78.2601
2020-05-08, 80.56,7891915, 79.7, 81.09, 79.36
2020-05-11, 80.48,6604560, 80.29, 81.27, 79.54
2020-05-12, 78.42,7318108, 81.29, 81.79, 78.4
2020-05-13, 78,9584756, 78.86, 79.51, 76.75
2020-05-14, 79.87,9956772, 77.5, 80, 76.47
2020-05-15, 75.77,29597760, 74.67, 77.7, 74.37
2020-05-18, 79.94,13196130, 77.27, 80.18, 77.21
2020-05-19, 78.09,8118408, 79.75, 80.15, 78
2020-05-20, 80.63,11379190, 79.96, 81.96, 79.69
2020-05-21, 78,8141452, 79.47, 80.0906, 77.8738
2020-05-22, 78.7,5530399, 78.26, 78.76, 77.29
2020-05-26, 78.02,10067340, 80.19, 80.57, 77.775
2020-05-27, 79.29,9125850, 78.27, 79.32, 76.16
2020-05-28, 78.11,11170860, 80.24, 81.48, 77.73
2020-05-29, 80.88,10562460, 78.7, 81.2, 77.9
2020-06-01, 79.73,6477494, 79.89, 80.48, 79.24
2020-06-02, 84.63,13255330, 79.93, 84.8798, 79.91
2020-06-03, 84.11,13029320, 84.95, 85.95, 83.62
2020-06-04, 86.04,12108970, 83.95, 86.7, 83.95
2020-06-05, 88.55,11882090, 88, 89.48, 87.82
2020-06-08, 91.37,9748317, 89, 91.5, 88.34
2020-06-09, 89.75,7327712, 90.23, 90.39, 89.06
2020-06-10, 91.01,9079720, 90.25, 92.14, 90.03
2020-06-11, 84.02,15241700, 88.62, 89.055, 83.91
2020-06-12, 85.24,10113210, 86.25, 87.14, 83.53
2020-06-15, 86.39,9861051, 83.67, 86.57, 83.1
2020-06-16, 89.52,12646620, 89.9, 90.44, 87.76
2020-06-17, 89.94,7620251, 90.68, 91.085, 89.3
2020-06-18, 89.92,5709537, 89.85, 90.49, 89.03
2020-06-19, 88.81,23213760, 89.87, 90.25, 87.535
2020-06-22, 89.13,8028040, 88.72, 89.44, 87.61
2020-06-23, 89.35,7778700, 90.14, 90.61, 89.11
2020-06-24, 89.14,8208755, 89.175, 89.83, 87.42
2020-06-25, 88.96,7062645, 88.7, 89.46, 87.32
2020-06-26, 88.02,9126471, 89.07, 89.73, 87.54
2020-06-29, 89.01,5870389, 88.211, 89.15, 86.68
2020-06-30, 91.21,9378521, 89.2, 91.93, 89
2020-07-01, 89.78,6990619, 91.01, 91.3, 89.58
2020-07-02, 91.87,8317278, 91.09, 92.5, 90.8
2020-07-06, 92.92,6933086, 93.21, 93.75, 92.1
2020-07-07, 92.14,6722402, 92.97, 93.55, 91.91
2020-07-08, 93.53,6692687, 93.27, 93.6, 92.34
2020-07-09, 93.25,6287666, 93.95, 93.95, 91.44
2020-07-10, 92.51,5687563, 93, 93.52, 91.56
2020-07-13, 91.33,7606351, 93.3, 94.125, 91.2
2020-07-14, 92.38,6570953, 90.86, 92.62, 89.2
2020-07-15, 92.55,6154056, 92.93, 92.93, 91.01
2020-07-16, 91.2,6178667, 91.264, 91.747, 90.68
2020-07-17, 92.23,5985862, 91.68, 92.455, 91
2020-07-20, 93.17,5407473, 92.192, 93.27, 91.3
2020-07-21, 92.31,7099738, 93.55, 93.85, 91.81
2020-07-22, 92.6,4366672, 92.74, 93.29, 91.67
2020-07-23, 89.67,9438516, 92.91, 92.97, 89.2287
2020-07-24, 88.89,9519999, 89.21, 90.29, 87.51
2020-07-27, 92.7,8021665, 90.023, 92.84, 89.26
2020-07-28, 91.45,5818417, 92.171, 92.59, 90.57
2020-07-29, 93.03,11453040, 92.08, 93.62, 91.74
2020-07-30, 107.19,42122510, 102.42, 107.69, 100.7
2020-07-31, 105.61,16770270, 105.66, 107.753, 104.51
2020-08-03, 109.59,18903470, 107.4, 113, 107.0341
2020-08-04, 110.95,10205400, 109.49, 111.02, 108.66
2020-08-05, 111.39,7970393, 111, 112.46, 110.08
2020-08-06, 111.06,6392228, 111.23, 111.36, 109.93
2020-08-07, 108.25,11155940, 110.01, 111.05, 106
2020-08-10, 106.36,10087130, 108.6, 108.99, 105.7226
2020-08-11, 108.83,17802960, 106.2, 112.01, 104.74
2020-08-12, 115.79,18672310, 110.39, 116.25, 109.65
2020-08-13, 113.41,9958426, 116.2, 116.2, 112.77
2020-08-14, 113.74,6640963, 113.3, 114.52, 112.57
2020-08-17, 112.18,10282990, 113.29, 114.49, 110.63
2020-08-18, 112.03,6387011, 112.91, 113.38, 111.52
2020-08-19, 111.04,7747599, 112.33, 113.47, 110.75
2020-08-20, 110.66,7200318, 110, 110.98, 109.67
2020-08-21, 113,8546881, 110.23, 113.15, 109.95
2020-08-24, 115.91,10235000, 114.37, 116, 113.27
2020-08-25, 115.95,6207980, 116.11, 117.1, 114.44
2020-08-26, 116.04,7487404, 116.25, 116.55, 115.17
2020-08-27, 116.02,8206185, 116.43, 118.18, 115.35
2020-08-28, 118.2,6280250, 116.71, 118.26, 116.17
2020-08-31, 119.1,9694649, 118.332, 121.06, 118.12
2020-09-01, 122.01,9101301, 121.08, 122.57, 119.51
2020-09-02, 123.18,9167699, 123.26, 123.9299, 121.81
2020-09-03, 116.43,13560800, 121.3, 121.71, 115.6
2020-09-04, 115.97,11064280, 115.69, 117.82, 112.38
2020-09-08, 109.77,10245170, 111.94, 113.88, 109.62
2020-09-09, 114.02,9708449, 113.48, 115.77, 112.3
2020-09-10, 112.44,6166312, 115.15, 115.81, 111.57
2020-09-11, 113.42,6740182, 113.38, 114.845, 112.4
2020-09-14, 113.46,5397303, 115.24, 115.43, 112.65
2020-09-15, 116.58,8773740, 114.94, 117.81, 114.79
2020-09-16, 114.56,6342106, 118, 118, 114.54
2020-09-17, 114.88,7418146, 111.92, 115.6999, 111
